Question_No,Question,Topic_tags,Acceptance_rate,isPremium,Difficulty,Question_Link,Solution,Slug,Test_Cases,Has_Solutions,Languages
3259, Maximum Energy Boost From Two Drinks,"['Array', 'Dynamic Programming']",49.10%,False,Medium,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks/description,https://leetcode.com/problems/maximum-energy-boost-from-two-drinks/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3260, Find the Largest Palindrome Divisible by K,"['Math', 'String', '3+']",14.80%,False,Hard,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k/description,https://leetcode.com/problems/find-the-largest-palindrome-divisible-by-k/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3261, Count Substrings That Satisfy K-Constraint II,"['Array', 'String', 'Binary Search', '2+']",21.60%,False,Hard,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/description,https://leetcode.com/problems/count-substrings-that-satisfy-k-constraint-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3262, Find Overlapping Shifts,['Database'],61.10%,True,Medium,https://leetcode.com/problems/find-overlapping-shifts/description,https://leetcode.com/problems/find-overlapping-shifts/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3263, Convert Doubly Linked List to Array I,"['Array', 'Linked List', 'Doubly-Linked List']",95.70%,True,Easy,https://leetcode.com/problems/convert-doubly-linked-list-to-array-i/description,https://leetcode.com/problems/convert-doubly-linked-list-to-array-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3264, Final Array State After K Multiplication Operations I,"['Array', 'Math', '2+']",81.80%,False,Easy,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-i/description,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3265, Count Almost Equal Pairs I,"['Array', 'Hash Table', 'Sorting', '2+']",37.10%,False,Medium,https://leetcode.com/problems/count-almost-equal-pairs-i/description,https://leetcode.com/problems/count-almost-equal-pairs-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3266, Final Array State After K Multiplication Operations II,"['Array', 'Heap (Priority Queue)', 'Simulation']",10.40%,False,Hard,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/description,https://leetcode.com/problems/final-array-state-after-k-multiplication-operations-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3267, Count Almost Equal Pairs II,"['Array', 'Hash Table', 'Sorting', '2+']",20.90%,False,Hard,https://leetcode.com/problems/count-almost-equal-pairs-ii/description,https://leetcode.com/problems/count-almost-equal-pairs-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3268, Find Overlapping Shifts II,['Database'],73.40%,True,Hard,https://leetcode.com/problems/find-overlapping-shifts-ii/description,https://leetcode.com/problems/find-overlapping-shifts-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3269, Constructing Two Increasing Arrays,"['Array', 'Dynamic Programming']",64.60%,True,Hard,https://leetcode.com/problems/constructing-two-increasing-arrays/description,https://leetcode.com/problems/constructing-two-increasing-arrays/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3270, Find the Key of the Numbers,['Math'],76.80%,False,Easy,https://leetcode.com/problems/find-the-key-of-the-numbers/description,https://leetcode.com/problems/find-the-key-of-the-numbers/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3271, Hash Divided String,"['String', 'Simulation']",84.60%,False,Medium,https://leetcode.com/problems/hash-divided-string/description,https://leetcode.com/problems/hash-divided-string/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3272, Find the Count of Good Integers,"['Hash Table', 'Math', 'Combinatorics', '1+']",29.80%,False,Hard,https://leetcode.com/problems/find-the-count-of-good-integers/description,https://leetcode.com/problems/find-the-count-of-good-integers/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3273, Minimum Amount of Damage Dealt to Bob,"['Array', 'Greedy', 'Sorting']",38.00%,False,Hard,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob/description,https://leetcode.com/problems/minimum-amount-of-damage-dealt-to-bob/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3274, Check if Two Chessboard Squares Have the Same Color,"['Math', 'String']",70.10%,False,Easy,https://leetcode.com/problems/check-if-two-chessboard-squares-have-the-same-color/description,https://leetcode.com/problems/check-if-two-chessboard-squares-have-the-same-color/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3275, K-th Nearest Obstacle Queries,"['Array', 'Heap (Priority Queue)']",47.80%,False,Medium,https://leetcode.com/problems/k-th-nearest-obstacle-queries/description,https://leetcode.com/problems/k-th-nearest-obstacle-queries/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3276, Select Cells in Grid With Maximum Score,"['Array', 'Dynamic Programming', '3+']",13.60%,False,Hard,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/description,https://leetcode.com/problems/select-cells-in-grid-with-maximum-score/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3277, Maximum XOR Score Subarray Queries,"['Array', 'Dynamic Programming']",47.20%,False,Hard,https://leetcode.com/problems/maximum-xor-score-subarray-queries/description,https://leetcode.com/problems/maximum-xor-score-subarray-queries/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3278, Find Candidates for Data Scientist Position II,['Database'],45.00%,True,Medium,https://leetcode.com/problems/find-candidates-for-data-scientist-position-ii/description,https://leetcode.com/problems/find-candidates-for-data-scientist-position-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3279, Maximum Total Area Occupied by Pistons,"['Array', 'Hash Table', 'String', '3+']",55.90%,True,Hard,https://leetcode.com/problems/maximum-total-area-occupied-by-pistons/description,https://leetcode.com/problems/maximum-total-area-occupied-by-pistons/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3280, Convert Date to Binary,"['Math', 'String']",88.40%,False,Easy,https://leetcode.com/problems/convert-date-to-binary/description,https://leetcode.com/problems/convert-date-to-binary/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3281, Maximize Score of Numbers in Ranges,"['Array', 'Binary Search', 'Greedy', '1+']",34.10%,False,Medium,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges/description,https://leetcode.com/problems/maximize-score-of-numbers-in-ranges/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3282, Reach End of Array With Max Score,"['Array', 'Greedy']",31.40%,False,Medium,https://leetcode.com/problems/reach-end-of-array-with-max-score/description,https://leetcode.com/problems/reach-end-of-array-with-max-score/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3283, Maximum Number of Moves to Kill All Pawns,"['Array', 'Math', 'Bit Manipulation', '3+']",32.70%,False,Hard,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/description,https://leetcode.com/problems/maximum-number-of-moves-to-kill-all-pawns/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3284, Sum of Consecutive Subarrays,"['Array', 'Two Pointers', '1+']",49.20%,True,Medium,https://leetcode.com/problems/sum-of-consecutive-subarrays/description,https://leetcode.com/problems/sum-of-consecutive-subarrays/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3285, Find Indices of Stable Mountains,['Array'],86.90%,False,Easy,https://leetcode.com/problems/find-indices-of-stable-mountains/description,https://leetcode.com/problems/find-indices-of-stable-mountains/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3286, Find a Safe Walk Through a Grid,"['Array', 'Breadth-First Search', 'Graph', '3+']",28.20%,False,Medium,https://leetcode.com/problems/find-a-safe-walk-through-a-grid/description,https://leetcode.com/problems/find-a-safe-walk-through-a-grid/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3287, Find the Maximum Sequence Value of Array,"['Array', 'Dynamic Programming', '1+']",16.30%,False,Hard,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/description,https://leetcode.com/problems/find-the-maximum-sequence-value-of-array/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3288, Length of the Longest Increasing Path,"['Array', 'Binary Search', 'Sorting']",16.20%,False,Hard,https://leetcode.com/problems/length-of-the-longest-increasing-path/description,https://leetcode.com/problems/length-of-the-longest-increasing-path/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3289, The Two Sneaky Numbers of Digitville,"['Array', 'Hash Table', 'Math']",89.10%,False,Easy,https://leetcode.com/problems/the-two-sneaky-numbers-of-digitville/description,https://leetcode.com/problems/the-two-sneaky-numbers-of-digitville/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3290, Maximum Multiplication Score,"['Array', 'Dynamic Programming']",41.30%,False,Medium,https://leetcode.com/problems/maximum-multiplication-score/description,https://leetcode.com/problems/maximum-multiplication-score/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3291, Minimum Number of Valid Strings to Form Target I,"['Array', 'String', 'Binary Search', '6+']",18.50%,False,Medium,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/description,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3292, Minimum Number of Valid Strings to Form Target II,"['Array', 'String', 'Binary Search', '5+']",16.70%,False,Hard,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii/description,https://leetcode.com/problems/minimum-number-of-valid-strings-to-form-target-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3293, Calculate Product Final Price,['Database'],76.30%,True,Medium,https://leetcode.com/problems/calculate-product-final-price/description,https://leetcode.com/problems/calculate-product-final-price/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3294, Convert Doubly Linked List to Array II,"['Array', 'Linked List', 'Doubly-Linked List']",81.80%,True,Medium,https://leetcode.com/problems/convert-doubly-linked-list-to-array-ii/description,https://leetcode.com/problems/convert-doubly-linked-list-to-array-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3295, Report Spam Message,"['Array', 'Hash Table', 'String']",47.30%,False,Medium,https://leetcode.com/problems/report-spam-message/description,https://leetcode.com/problems/report-spam-message/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3296, Minimum Number of Seconds to Make Mountain Height Zero,"['Array', 'Math', 'Binary Search', '2+']",35.20%,False,Medium,https://leetcode.com/problems/minimum-number-of-seconds-to-make-mountain-height-zero/description,https://leetcode.com/problems/minimum-number-of-seconds-to-make-mountain-height-zero/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3297, Count Substrings That Can Be Rearranged to Contain a String I,"['Hash Table', 'String', 'Sliding Window']",41.40%,False,Medium,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/description,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3298, Count Substrings That Can Be Rearranged to Contain a String II,"['Hash Table', 'String', 'Sliding Window']",60.20%,False,Hard,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/description,https://leetcode.com/problems/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3299, Sum of Consecutive Subsequences,"['Array', 'Hash Table', '1+']",49.10%,True,Hard,https://leetcode.com/problems/sum-of-consecutive-subsequences/description,https://leetcode.com/problems/sum-of-consecutive-subsequences/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3300, Minimum Element After Replacement With Digit Sum,"['Array', 'Math']",83.60%,False,Easy,https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum/description,https://leetcode.com/problems/minimum-element-after-replacement-with-digit-sum/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3301, Maximize the Total Height of Unique Towers,"['Array', 'Greedy', 'Sorting']",35.70%,False,Medium,https://leetcode.com/problems/maximize-the-total-height-of-unique-towers/description,https://leetcode.com/problems/maximize-the-total-height-of-unique-towers/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3302, Find the Lexicographically Smallest Valid Sequence,"['Two Pointers', 'String', '2+']",18.90%,False,Medium,https://leetcode.com/problems/find-the-lexicographically-smallest-valid-sequence/description,https://leetcode.com/problems/find-the-lexicographically-smallest-valid-sequence/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3303, Find the Occurrence of First Almost Equal Substring,"['String', 'String Matching']",11.60%,False,Hard,https://leetcode.com/problems/find-the-occurrence-of-first-almost-equal-substring/description,https://leetcode.com/problems/find-the-occurrence-of-first-almost-equal-substring/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3304, Find the K-th Character in String Game I,"['Math', 'Bit Manipulation', 'Recursion', '1+']",71.60%,False,Easy,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/description,https://leetcode.com/problems/find-the-k-th-character-in-string-game-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
3305, Count of Substrings Containing Every Vowel and K Consonants I,"['Hash Table', 'String', 'Sliding Window']",40.40%,False,Medium,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/description,https://leetcode.com/problems/count-of-substrings-containing-every-vowel-and-k-consonants-i/solutions,,[],No,"cpp,java,python,javascript,go,rust,typescript,c"
